Layer,Head,Entropy,MaxAttn,Top1,Top2,Top3
1,1,3.459,0.091,country,tenure,balance_salary_ratio
1,2,3.459,0.0909,tenure,balance_salary_ratio,products_per_tenure
1,3,3.459,0.091,balance,balance_salary_ratio,age
1,4,3.459,0.091,tenure_age_ratio,credit_score,products_per_tenure
1,5,3.459,0.091,tenure_age_ratio,estimated_salary,products_number
1,6,3.459,0.091,tenure_age_ratio,balance_salary_ratio,products_number
1,7,3.459,0.091,products_number,tenure_age_ratio,credit_score
1,8,3.459,0.0911,credit_score,age,country
2,1,3.459,0.095,credit_score,tenure_age_ratio,products_per_tenure
2,2,3.459,0.0939,balance_salary_ratio,age,credit_score
2,3,3.458,0.0961,tenure_age_ratio,balance,products_number
2,4,3.459,0.0955,tenure,gender,balance_salary_ratio
2,5,3.459,0.0941,products_per_tenure,gender,age
2,6,3.459,0.0944,balance_salary_ratio,tenure_age_ratio,products_per_tenure
2,7,3.459,0.0955,balance_salary_ratio,estimated_salary,tenure_age_ratio
2,8,3.459,0.098,balance,products_per_tenure,credit_score
3,1,3.457,0.097,balance,tenure_age_ratio,credit_score
3,2,3.459,0.0988,tenure_age_ratio,credit_score,estimated_salary
3,3,3.458,0.0991,balance,tenure_age_ratio,products_per_tenure
3,4,3.458,0.0969,tenure,credit_score,gender
3,5,3.456,0.1027,balance_salary_ratio,age,gender
3,6,3.458,0.0996,products_number,products_per_tenure,tenure_age_ratio
3,7,3.457,0.0992,balance_salary_ratio,estimated_salary,gender
3,8,3.458,0.0978,products_per_tenure,estimated_salary,balance
4,1,3.454,0.1024,products_number,credit_score,tenure_age_ratio
4,2,3.458,0.0994,credit_score,gender,products_number
4,3,3.456,0.1006,balance,products_per_tenure,tenure
4,4,3.455,0.0996,tenure,credit_score,gender
4,5,3.455,0.1002,country,balance_salary_ratio,products_per_tenure
4,6,3.452,0.1088,products_number,credit_score,gender
4,7,3.454,0.1028,estimated_salary,products_per_tenure,country
4,8,3.453,0.1073,estimated_salary,tenure_age_ratio,balance
