Baseline,Metric,Proposed mean,Baseline mean,Mean diff,t,"p (paired t, n=5)"
FTTransformer,roc_auc,0.8437,0.8343,0.0094,2.223,0.09031278908918033
FTTransformer,f1_macro,0.5875,0.6128,-0.0253,-1.414,0.23017879537439528
FTTransformer,pr_auc,0.6631,0.6458,0.0173,1.472,0.2149608100740125
LSTM,roc_auc,0.8437,0.8428,0.0009,0.238,0.8236166176946669
LSTM,f1_macro,0.5875,0.6045,-0.017,-1.081,0.3405399599735095
LSTM,pr_auc,0.6631,0.6733,-0.0102,-1.567,0.19228763824429362
GRU,roc_auc,0.8437,0.8459,-0.0022,-0.941,0.40015296179771465
GRU,f1_macro,0.5875,0.603,-0.0155,-1.438,0.22384951566092048
GRU,pr_auc,0.6631,0.6744,-0.0113,-2.455,0.07008278622674964
MLP,roc_auc,0.8437,0.828,0.0157,6.059,0.003745109779010002
MLP,f1_macro,0.5875,0.6406,-0.0531,-4.005,0.01606199843856321
MLP,pr_auc,0.6631,0.6356,0.0275,10.42,0.0004791118853214561
CNN,roc_auc,0.8437,0.837,0.0067,3.385,0.02766022050423358
CNN,f1_macro,0.5875,0.6077,-0.0202,-1.223,0.2885435291504629
CNN,pr_auc,0.6631,0.6429,0.0202,3.085,0.0367657766765535
XGBoost,roc_auc,0.8437,0.8471,-0.0035,-0.842,0.4471132793125262
XGBoost,f1_macro,0.5875,0.7488,-0.1613,-12.534,0.00023310479301934668
XGBoost,pr_auc,0.6631,0.6787,-0.0155,-2.252,0.08743795145192651
LightGBM,roc_auc,0.8437,0.8455,-0.0018,-0.429,0.6900140620085535
LightGBM,f1_macro,0.5875,0.7495,-0.162,-12.92,0.0002070014760490038
LightGBM,pr_auc,0.6631,0.6808,-0.0177,-2.093,0.10445807573855967
LogisticRegression,roc_auc,0.8437,0.7543,0.0894,20.12,3.602052597380769e-05
LogisticRegression,f1_macro,0.5875,0.6369,-0.0494,-4.521,0.010648035813633432
LogisticRegression,pr_auc,0.6631,0.4463,0.2168,13.59,0.00016971152371469925
