Variant,#Params,ACCURACY,F1_MACRO,ROC_AUC,PR_AUC,MCC,KAPPA,ΔF1 vs Full
Full HI-FTT (proposed),"1,136,643",0.8390,0.8310,0.9216,0.8955,0.6650,0.6625,+0.0000
w/o CLS Token (mean pool),"1,136,387",0.8343,0.8260,0.9202,0.8944,0.6549,0.6526,-0.0049
w/o Positional Encoding,"1,130,755",0.8304,0.8235,0.9210,0.8962,0.6539,0.6484,-0.0074
w/o Multi-head (single head),"873,475",0.8331,0.8250,0.9186,0.8922,0.6535,0.6507,-0.0060
w/o Feature Tokenization,"807,553",0.8295,0.8206,0.9149,0.8885,0.6435,0.6416,-0.0104
Shallow (1 Layer),"541,827",0.8356,0.8277,0.9217,0.8967,0.6591,0.6561,-0.0033
Deep (6 Layers),"1,533,187",0.8354,0.8277,0.9204,0.8959,0.6596,0.6563,-0.0032
w/o Dropout,"1,136,643",0.8358,0.8261,0.9171,0.8903,0.6531,0.6524,-0.0049
w/o Booking-Phase Conditioning (BPAC),"1,119,745",0.8321,0.8233,0.9171,0.8908,0.6489,0.6471,-0.0077
w/o Semantic Group Attention (SGA),"1,004,035",0.8363,0.8266,0.9181,0.8908,0.6540,0.6533,-0.0044
