Layer,Head,Entropy,MaxAttn,Top1,Top2,Top3
1,1,5.491,0.0234,arrival_date_day_of_month,customer_type,meal
1,2,5.491,0.0236,is_repeated_guest,adr_per_person,market_segment
1,3,5.491,0.0248,market_segment,arrival_date_year,previous_cancellations
1,4,5.489,0.0261,customer_type,previous_bookings_not_canceled,stays_in_week_nights
1,5,5.492,0.0231,arrival_date_day_of_month,stays_in_week_nights,children
1,6,5.491,0.0236,babies,total_nights,hotel
1,7,5.492,0.0231,is_repeated_guest,long_lead_no_commit,market_segment
1,8,5.491,0.0243,market_segment,hotel,has_weekend_nights
2,1,5.189,0.0695,loyalty_score,customer_type,room_mismatch
2,2,4.793,0.2049,hotel,market_segment,weekend_proportion
2,3,5.212,0.0765,meal,hotel,market_segment
2,4,5.067,0.1522,market_segment,hotel,stays_in_week_nights
2,5,5.134,0.0605,week_sin,month_sin,arrival_date_week_number
2,6,5.131,0.0692,hotel,lead_time,week_cos
2,7,5.243,0.073,long_lead_no_commit,meal,engagement_ratio
2,8,4.693,0.1676,hotel,room_mismatch,arrival_date_year
3,1,5.258,0.0671,booking_changes,meal,arrival_date_week_number
3,2,4.76,0.1522,hotel,market_segment,days_in_waiting_list
3,3,5.294,0.0459,market_segment,previous_bookings_not_canceled,meal
3,4,5.279,0.0583,booking_changes,previous_bookings_not_canceled,customer_type
3,5,5.187,0.0596,hotel,meal,booking_changes
3,6,5.042,0.0737,arrival_date_month,hotel,previous_bookings_not_canceled
3,7,5.289,0.0464,stays_in_weekend_nights,loyalty_score,meal
3,8,5.153,0.0962,hotel,previous_cancellations,previous_bookings_not_canceled
4,1,5.15,0.0631,hotel,days_in_waiting_list,room_mismatch
4,2,5.045,0.0913,hotel,days_in_waiting_list,arrival_date_year
4,3,5.264,0.0544,arrival_date_year,previous_cancellations,month_sin
4,4,5.239,0.0824,hotel,previous_bookings_not_canceled,market_segment
4,5,5.198,0.0862,market_segment,children,party_size
4,6,5.278,0.0686,deposit_type,hotel,arrival_date_day_of_month
4,7,4.911,0.1741,hotel,customer_type,reserved_room_type
4,8,5.189,0.0933,hotel,meal,arrival_date_year
