Layer,Head,Entropy,MaxAttn,Top1,Top2,Top3
1,1,5.491,0.0236,adr_per_person,week_cos,arrival_date_month
1,2,5.491,0.0236,lead_per_night,children,month_sin
1,3,5.49,0.0253,has_weekend_nights,week_cos,lead_per_night
1,4,5.49,0.0248,long_lead_no_commit,loyalty_score,booking_changes
1,5,5.49,0.026,is_family,children,lead_per_night
1,6,5.491,0.0237,arrival_date_year,week_sin,stays_in_weekend_nights
1,7,5.486,0.029,long_lead_no_commit,weekend_proportion,month_cos
1,8,5.491,0.0245,week_sin,babies,long_lead_no_commit
2,1,4.937,0.1057,lead_time,children,arrival_date_week_number
2,2,4.982,0.1024,total_of_special_requests,is_family,engagement_ratio
2,3,4.636,0.1214,is_family,arrival_date_day_of_month,month_cos
2,4,4.631,0.148,distribution_channel,deposit_type,customer_type
2,5,5.112,0.0639,month_cos,engagement_ratio,has_weekend_nights
2,6,5.089,0.0907,arrival_date_year,lead_time,month_cos
2,7,5.121,0.0753,deposit_type,loyalty_score,lead_time
2,8,5.314,0.0617,days_in_waiting_list,weekend_proportion,stays_in_week_nights
3,1,4.779,0.1322,days_in_waiting_list,adr_per_person,month_cos
3,2,4.608,0.1175,revenue_proxy,total_of_special_requests,revenue_per_night
3,3,4.732,0.0891,month_cos,babies,booking_instability
3,4,4.653,0.1375,stays_in_weekend_nights,revenue_proxy,customer_type
3,5,4.322,0.1052,total_nights,long_lead_no_commit,days_in_waiting_list
3,6,4.645,0.1038,arrival_date_year,arrival_date_week_number,revenue_proxy
3,7,4.814,0.1065,customer_type,week_sin,revenue_per_night
3,8,4.25,0.1459,revenue_per_night,adr_per_person,is_repeated_guest
4,1,4.609,0.122,booking_instability,market_segment,total_of_special_requests
4,2,4.721,0.1136,days_in_waiting_list,arrival_date_day_of_month,arrival_date_week_number
4,3,4.609,0.1611,arrival_date_year,arrival_date_week_number,month_cos
4,4,4.747,0.1015,customer_type,arrival_date_year,days_in_waiting_list
4,5,4.597,0.1245,lead_time,customer_type,distribution_channel
4,6,4.498,0.1392,revenue_proxy,stays_in_week_nights,customer_type
4,7,4.789,0.0898,week_sin,market_segment,arrival_date_year
4,8,4.761,0.0924,week_cos,arrival_date_year,month_cos
