,Transformer,FTTransformer,LSTM,GRU,MLP,CNN,XGBoost,LightGBM,CatBoost,LogisticRegression
Transformer,1.0,0.000803656444846701,0.0002817910570396265,0.9872924042723323,0.06989770255983652,5.300360150783945e-11,0.0,0.0,0.0,3.0358883540415604e-06
FTTransformer,0.000803656444846701,1.0,0.8650922671593982,0.0011789394821885013,0.1608117999414418,0.0007746616484455293,0.0,0.0,0.0,0.033489495941470215
LSTM,0.0002817910570396265,0.8650922671593982,1.0,5.694944657064216e-05,0.09745923473280316,0.0006894701110868873,0.0,0.0,0.0,0.04945914247239991
GRU,0.9872924042723323,0.0011789394821885013,5.694944657064216e-05,1.0,0.06966280010335169,5.3402837707494655e-12,0.0,0.0,0.0,1.5992037314394025e-06
MLP,0.06989770255983652,0.1608117999414418,0.09745923473280316,0.06966280010335169,1.0,1.7269648535656046e-06,0.0,0.0,0.0,0.001386206268318979
CNN,5.300360150783945e-11,0.0007746616484455293,0.0006894701110868873,5.3402837707494655e-12,1.7269648535656046e-06,1.0,0.0,0.0,0.0,0.48878372509962165
XGBoost,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4472844585401724,2.6220892124229067e-09,0.0
LightGBM,0.0,0.0,0.0,0.0,0.0,0.0,0.4472844585401724,1.0,5.163725902423977e-08,0.0
CatBoost,0.0,0.0,0.0,0.0,0.0,0.0,2.6220892124229067e-09,5.163725902423977e-08,1.0,0.0
LogisticRegression,3.0358883540415604e-06,0.033489495941470215,0.04945914247239991,1.5992037314394025e-06,0.001386206268318979,0.48878372509962165,0.0,0.0,0.0,1.0
