Layer,Head,Entropy,MaxAttn,Top1,Top2,Top3
1,1,5.492,0.0231,month_sin,babies,hotel
1,2,5.492,0.0231,stays_in_week_nights,arrival_date_year,is_family
1,3,5.492,0.0234,hotel,babies,market_segment
1,4,5.491,0.0235,month_cos,total_nights,days_in_waiting_list
1,5,5.492,0.0239,babies,lead_time,arrival_date_month
1,6,5.492,0.0233,is_family,market_segment,arrival_date_year
1,7,5.492,0.023,days_in_waiting_list,revenue_per_night,market_segment
1,8,5.492,0.0225,required_car_parking_spaces,lead_time,adr
2,1,5.197,0.0621,stays_in_weekend_nights,loyalty_score,month_sin
2,2,5.209,0.0636,customer_type,stays_in_week_nights,adr
2,3,5.199,0.0692,hotel,booking_instability,booking_changes
2,4,5.21,0.0804,cancellation_risk_ratio,lead_per_night,market_segment
2,5,5.258,0.0639,hotel,arrival_date_week_number,long_lead_no_commit
2,6,5.296,0.0569,hotel,customer_type,market_segment
2,7,5.091,0.134,hotel,adults,party_size
2,8,5.314,0.0494,month_cos,stays_in_week_nights,hotel
3,1,5.096,0.0794,total_nights,market_segment,weekend_proportion
3,2,5.169,0.0629,customer_type,month_cos,long_lead_no_commit
3,3,4.811,0.1777,hotel,market_segment,meal
3,4,4.946,0.1529,hotel,stays_in_week_nights,assigned_room_type
3,5,4.767,0.2107,hotel,meal,booking_changes
3,6,4.97,0.1414,customer_type,market_segment,long_lead_no_commit
3,7,4.689,0.1498,hotel,market_segment,customer_type
3,8,5.143,0.0639,market_segment,meal,adults
4,1,5.093,0.0781,arrival_date_month,weekend_proportion,market_segment
4,2,4.114,0.3441,customer_type,assigned_room_type,market_segment
4,3,4.809,0.1734,hotel,meal,adults
4,4,4.967,0.0679,meal,booking_changes,adults
4,5,4.622,0.2274,hotel,meal,total_of_special_requests
4,6,4.442,0.261,customer_type,assigned_room_type,market_segment
4,7,5.238,0.057,market_segment,stays_in_week_nights,party_size
4,8,5.112,0.078,market_segment,month_cos,hotel
