Baseline,Metric,Proposed mean,Baseline mean,Mean diff,t,"p (paired t, n=5)"
FTTransformer,roc_auc,0.9175,0.9155,0.002,4.337,0.012280857859951838
FTTransformer,f1_macro,0.8255,0.8246,0.0009,0.448,0.6775450279015734
FTTransformer,pr_auc,0.8925,0.8906,0.0019,3.027,0.03887833173157936
LSTM,roc_auc,0.9175,0.9161,0.0014,2.62,0.05881301663275729
LSTM,f1_macro,0.8255,0.8286,-0.0031,-2.074,0.10677184599526064
LSTM,pr_auc,0.8925,0.8918,0.0007,0.964,0.3896162124009631
GRU,roc_auc,0.9175,0.9161,0.0014,4.049,0.015487937650237836
GRU,f1_macro,0.8255,0.8252,0.0003,0.147,0.8899532268510989
GRU,pr_auc,0.8925,0.8916,0.0009,1.358,0.24599983224394198
MLP,roc_auc,0.9175,0.9202,-0.0027,-4.004,0.016072647954677038
MLP,f1_macro,0.8255,0.8322,-0.0067,-4.716,0.009195582788336754
MLP,pr_auc,0.8925,0.8963,-0.0038,-4.212,0.013565142169272487
CNN,roc_auc,0.9175,0.9179,-0.0003,-0.456,0.6720761740017177
CNN,f1_macro,0.8255,0.8287,-0.0032,-1.939,0.12458613970051374
CNN,pr_auc,0.8925,0.8936,-0.0011,-1.264,0.2748975283750289
XGBoost,roc_auc,0.9175,0.9213,-0.0037,-14.569,0.00012910225284691972
XGBoost,f1_macro,0.8255,0.8338,-0.0083,-4.647,0.009685927240745107
XGBoost,pr_auc,0.8925,0.8968,-0.0043,-13.796,0.00015998455364082316
LightGBM,roc_auc,0.9175,0.9197,-0.0021,-18.127,5.446679730109942e-05
LightGBM,f1_macro,0.8255,0.8324,-0.0069,-7.022,0.0021670212376767857
LightGBM,pr_auc,0.8925,0.8942,-0.0017,-15.74,9.518473480481945e-05
LogisticRegression,roc_auc,0.9175,0.8562,0.0614,78.218,1.6012325415947206e-07
LogisticRegression,f1_macro,0.8255,0.7654,0.0601,45.75,1.365268177117483e-06
LogisticRegression,pr_auc,0.8925,0.8229,0.0696,78.665,1.565122852923489e-07
