Layer,Head,Entropy,MaxAttn,Top1,Top2,Top3
1,1,5.492,0.0223,loyalty_score,booking_instability,adults
1,2,5.492,0.0223,loyalty_score,arrival_date_day_of_month,revenue_proxy
1,3,5.492,0.0223,week_sin,cancellation_risk_ratio,booking_changes
1,4,5.492,0.0224,stays_in_week_nights,arrival_date_year,required_car_parking_spaces
1,5,5.492,0.0223,adr,stays_in_weekend_nights,days_in_waiting_list
1,6,5.492,0.0223,lead_per_night,adr,previous_bookings_not_canceled
1,7,5.492,0.0223,previous_cancellations,arrival_date_year,month_sin
1,8,5.492,0.0224,children,revenue_per_night,engagement_ratio
2,1,5.489,0.0259,month_cos,booking_instability,adults
2,2,5.489,0.025,booking_instability,arrival_date_month,long_lead_no_commit
2,3,5.489,0.0248,week_sin,has_weekend_nights,revenue_proxy
2,4,5.488,0.0259,has_weekend_nights,lead_per_night,revenue_proxy
2,5,5.481,0.0271,revenue_per_night,adr_per_person,babies
2,6,5.49,0.0249,revenue_per_night,has_weekend_nights,previous_bookings_not_canceled
2,7,5.488,0.0265,meal,arrival_date_day_of_month,arrival_date_month
2,8,5.461,0.0376,has_weekend_nights,arrival_date_week_number,adr_per_person
3,1,5.484,0.0304,adults,booking_instability,party_size
3,2,5.477,0.03,cancellation_risk_ratio,market_segment,hotel
3,3,5.482,0.0269,long_lead_no_commit,days_in_waiting_list,month_sin
3,4,5.428,0.0492,has_weekend_nights,customer_type,lead_per_night
3,5,5.39,0.043,adr_per_person,babies,is_repeated_guest
3,6,5.475,0.0312,revenue_per_night,long_lead_no_commit,party_size
3,7,5.466,0.0391,meal,hotel,stays_in_week_nights
3,8,5.473,0.0302,week_sin,babies,adults
4,1,5.46,0.0355,booking_instability,adults,adr_per_person
4,2,5.365,0.0412,market_segment,revenue_proxy,is_family
4,3,5.463,0.0333,revenue_per_night,adr,revenue_proxy
4,4,5.224,0.063,adr_per_person,has_weekend_nights,hotel
4,5,5.193,0.13,adr_per_person,booking_instability,meal
4,6,5.455,0.0326,reserved_room_type,revenue_per_night,adr_per_person
4,7,5.472,0.0297,stays_in_week_nights,meal,total_of_special_requests
4,8,5.411,0.0487,babies,adr_per_person,adults
