,Transformer,FTTransformer,LSTM,GRU,MLP,CNN,XGBoost,LightGBM,CatBoost,LogisticRegression
Transformer,1.0,0.00012793107018538308,1.9444381660349563e-09,2.6314044818676052e-06,0.0,0.00025224902332732224,0.0,0.0,0.0,0.0
FTTransformer,0.00012793107018538308,1.0,0.017362072014190044,0.30775149772557575,0.0,0.817456944148934,0.0,0.0,0.0,0.0
LSTM,1.9444381660349563e-09,0.017362072014190044,1.0,0.17031284817959225,0.0,0.04617181315347163,0.0,0.0,0.0,0.0
GRU,2.6314044818676052e-06,0.30775149772557575,0.17031284817959225,1.0,0.0,0.45348787726658335,0.0,0.0,0.0,0.0
MLP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.4157492874987696e-06,0.0
CNN,0.00025224902332732224,0.817456944148934,0.04617181315347163,0.45348787726658335,0.0,1.0,0.0,0.0,0.0,0.0
XGBoost,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0006035167015526754
LightGBM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7229551119157804e-12
CatBoost,0.0,0.0,0.0,0.0,2.4157492874987696e-06,0.0,0.0,0.0,1.0,0.0
LogisticRegression,0.0,0.0,0.0,0.0,0.0,0.0,0.0006035167015526754,1.7229551119157804e-12,0.0,1.0
