Layer,Head,Entropy,MaxAttn,Top1,Top2,Top3
1,1,4.322,0.05,TotalLongDistanceCharges,Quarter,TotalCharges
1,2,4.322,0.0501,TotalExtraDataCharges,TotalLongDistanceCharges,AvgMonthlyGBDownload
1,3,4.322,0.0501,InternetType,Contract,Number_of_Referrals
1,4,4.322,0.0501,revenue_per_month,TotalCharges,TenureinMonths
1,5,4.322,0.0501,TotalExtraDataCharges,charge_ratio,Number_of_Referrals
1,6,4.322,0.0501,TotalCharges,Quarter,InternetType
1,7,4.322,0.0501,Offer,AvgMonthlyLongDistanceCharges,MonthlyCharge
1,8,4.322,0.0501,TenureinMonths,service_count,Age
2,1,4.321,0.0531,Offer,TotalLongDistanceCharges,NumberofDependents
2,2,4.321,0.0526,TotalRefunds,Offer,TotalCharges
2,3,4.321,0.0537,TotalLongDistanceCharges,TotalRefunds,revenue_per_month
2,4,4.321,0.0523,Quarter,TotalRevenue,TotalExtraDataCharges
2,5,4.321,0.0523,Offer,TotalExtraDataCharges,revenue_per_month
2,6,4.321,0.0527,service_count,TenureinMonths,Age
2,7,4.321,0.0529,charge_ratio,TotalRevenue,revenue_per_month
2,8,4.322,0.0521,TotalExtraDataCharges,PaymentMethod,Offer
3,1,4.32,0.0557,AvgMonthlyLongDistanceCharges,InternetType,Contract
3,2,4.32,0.0541,TotalLongDistanceCharges,charge_ratio,PaymentMethod
3,3,4.319,0.0551,service_count,TotalLongDistanceCharges,AvgMonthlyLongDistanceCharges
3,4,4.32,0.0553,TenureinMonths,Quarter,TotalLongDistanceCharges
3,5,4.319,0.0587,TotalExtraDataCharges,Offer,Quarter
3,6,4.318,0.0561,revenue_per_month,TotalLongDistanceCharges,Quarter
3,7,4.316,0.0598,MonthlyCharge,service_count,TotalRevenue
3,8,4.319,0.0555,AvgMonthlyGBDownload,TenureinMonths,revenue_per_month
4,1,4.318,0.0558,Contract,TotalExtraDataCharges,PaymentMethod
4,2,4.314,0.0581,charge_ratio,PaymentMethod,Offer
4,3,4.318,0.0569,service_count,TotalLongDistanceCharges,revenue_per_month
4,4,4.319,0.0551,TotalExtraDataCharges,TenureinMonths,Offer
4,5,4.315,0.0577,revenue_per_month,TotalExtraDataCharges,TotalRefunds
4,6,4.313,0.0624,revenue_per_month,Age,TotalLongDistanceCharges
4,7,4.3,0.0738,MonthlyCharge,service_count,Offer
4,8,4.31,0.0624,AvgMonthlyGBDownload,service_count,TenureinMonths
