Baseline,Metric,Proposed mean,Baseline mean,Mean diff,t,"p (paired t, n=5)"
FTTransformer,roc_auc,0.9005,0.9009,-0.0004,-0.192,0.8568776372048507
FTTransformer,f1_macro,0.7506,0.7543,-0.0037,-0.646,0.5536707817141816
FTTransformer,pr_auc,0.7729,0.781,-0.0081,-0.857,0.4395711154418578
LSTM,roc_auc,0.9005,0.9036,-0.0031,-0.833,0.4515824963006575
LSTM,f1_macro,0.7506,0.7647,-0.0141,-3.596,0.02283225621581967
LSTM,pr_auc,0.7729,0.7838,-0.0109,-1.226,0.28748402777129434
GRU,roc_auc,0.9005,0.9073,-0.0068,-1.723,0.1600375533802768
GRU,f1_macro,0.7506,0.7576,-0.0071,-1.417,0.2295385905807531
GRU,pr_auc,0.7729,0.7892,-0.0163,-1.611,0.18248596345391346
MLP,roc_auc,0.9005,0.8985,0.002,0.411,0.7022611251127725
MLP,f1_macro,0.7506,0.7589,-0.0083,-3.643,0.0219020974932776
MLP,pr_auc,0.7729,0.7667,0.0062,0.511,0.6360853604561094
CNN,roc_auc,0.9005,0.894,0.0065,2.13,0.10026182267540722
CNN,f1_macro,0.7506,0.7519,-0.0013,-0.175,0.8692749654334508
CNN,pr_auc,0.7729,0.7522,0.0207,2.23,0.08960508020595269
XGBoost,roc_auc,0.9005,0.901,-0.0005,-0.353,0.7421619546589534
XGBoost,f1_macro,0.7506,0.796,-0.0455,-6.324,0.00319914105784766
XGBoost,pr_auc,0.7729,0.778,-0.0051,-1.144,0.31635121678102107
LightGBM,roc_auc,0.9005,0.9035,-0.0031,-1.901,0.13004704381930074
LightGBM,f1_macro,0.7506,0.7977,-0.0472,-5.944,0.00401887406456888
LightGBM,pr_auc,0.7729,0.7808,-0.0079,-1.808,0.14488371924064147
LogisticRegression,roc_auc,0.9005,0.8994,0.0011,0.393,0.7145289882170366
LogisticRegression,f1_macro,0.7506,0.7774,-0.0268,-6.574,0.002770502407243896
LogisticRegression,pr_auc,0.7729,0.7714,0.0015,0.246,0.8177504616938808
